Company,Industry,What They Do,Pain Point,Contact Person,Role,X/Twitter,LinkedIn,Email,Website,Outreach Status,First Contact Date,Last Follow-Up,Next Action,Response,Deal Stage,Package Interest,Estimated Value,Priority,Notes
Paradex,DeFi/Derivatives,Zero-fee perps DEX on Starknet,Open Growth Marketing Lead role ($105-107K),Careers page,Growth Marketing Lead,@tradeparadex,,apply via careers,paradex.trade,Not Started,,,Apply to role + pitch services,,Lead,Package 3,$8-15K/mo,1,Backed by Paradigm - $244B volume
Variational,DeFi/Derivatives,RFQ-based derivatives on Arbitrum,Hiring for marketing + growth,Max Bibeau,Head of Growth,@variaboratory,,,,Not Started,,,DM Max Bibeau,,Lead,Package 1,$5-10K/mo,2,$10.3M seed + $1.5M strategic
Lido Finance,DeFi/Staking,Leading liquid staking protocol,Hiring Growth Specialist + Institutional Lead,,DeFi Growth Specialist,,linkedin.com/company/lidofinance,,lido.fi,Not Started,,,Apply to roles,,Lead,Package 3,$15-30K/mo,3,V3 launching 2026
Bluesky,Web3/Social,Decentralized social media,Hiring Community Marketing Manager - 43M users,,Community Marketing Manager,,linkedin.com/company/bluesky-pbc,,bsky.social,Not Started,,,Apply to role,,Lead,Package 1,$10-25K/mo,4,$100M Series B
Turnkey,Web3/Infrastructure,Crypto wallet infra (ex-Coinbase),Earmarked funds for marketing expansion,Bryce Ferguson,CEO,,linkedin.com/company/turnkeyhq,,turnkey.com,Not Started,,,Research CEO contact,,Lead,Package 3,$10-20K/mo,5,$30M Series B - Bain + Sequoia
TransFi,Web3/Fintech,Cross-border stablecoin payments,Needs marketing across emerging markets post-raise,Raj Kamal,CEO,,linkedin.com/company/trans-fi,,transfi.com,Not Started,,,DM founder,,Lead,Package 1,$5-15K/mo,6,$19.2M Series A
TRM Labs,Web3/Enterprise,Blockchain analytics / crypto crime AI,Needs thought leadership at unicorn scale,Esteban Castano,CEO,,linkedin.com/company/trmlabs,,trmlabs.com,Not Started,,,Research marketing team,,Lead,Package 3,$15-30K/mo,7,$70M Series C - $1B valuation
Ostium,DeFi/RWA,On-chain perps for stocks/commodities/FX,2026 = year of scale - targeting $10T market,Kaledora Kiernan-Linn,Co-founder,,,,,Not Started,,,DM co-founder,,Lead,Package 3,$8-15K/mo,8,$27.8M total funding
Simile,AI/Marketing,AI simulating human behavior for testing,Just emerged from stealth - needs awareness,Joon Park,Co-founder,,,,simile.ai,Not Started,,,Research contact,,Lead,Package 1,$15-30K/mo,9,$100M Series A
Fundamental,AI/Enterprise,Enterprise structured data AI,Stealth-to-unicorn needs brand building,Jeremy Fraenkel,CEO,,,,fundamental.ai,Not Started,,,Research contact,,Lead,Package 1,$20-40K/mo,10,$255M Series A - $1.4B valuation
Myriad,Web3/Prediction,Prediction markets platform,Brand new - needs everything from zero,Loxley Fernandes,CEO,@MyriadMarkets,,,,Not Started,,,DM founder on X,,Lead,Package 3,$3-8K/mo,11,Seed round - MoonPay Ventures
Project Eleven,Web3/Security,Post-quantum cryptography,Technical product needs simplified content,Alex Pruden,CEO,,linkedin.com/company/p-11,,projecteleven.com,Not Started,,,Research contact,,Lead,Package 1,$5-10K/mo,12,$20M Series A
