Title,Platform,Content Type,Goal,Status,Priority,Personality Marker,Recurring,Post Date,Hook Used,Notes
"[TK-1] This was my chart: 8 indicators, zero clarity. Then I stripped it down to 3.",TikTok,TikTok Script,Sales,Draft,Normal,Hot Take,One-Time,2026-04-01T06:00:00,"This was my chart: 8 indicators, zero clarity. Then I stripped it down to 3.",Phase 1 | TK-1 | B-6 | [v1 hook] | v2
[IG-1] SEC cleared tokens: the update nobody is covering,Instagram,Reel Script,Sales,Draft,Normal,Story,One-Time,2026-04-01T07:00:00,,Phase 1 | IG-1 | NEW | [TOPIC ONLY] | v2
"[X-1] The SEC told you which tokens are safe — 10 days later, here's what actually cha...",X/Twitter,Thread,Authority,Draft,High,Polarizing Stand,One-Time,2026-04-01T08:00:00,"The SEC told you which tokens are safe — 10 days later, here's what actually changed",Phase 1 | X-AM | A-1 | [DRAFT READY] | v2
[TG-1] Apr 1 - 9AM WAT,Telegram,Community Post,Leads,Draft,Normal,Enemy,One-Time,2026-04-01T08:00:00,,
[LI-1] The 3 data points I check before any decision — how less became more,LinkedIn,LinkedIn Post,Authority,Draft,Normal,Callout,One-Time,2026-04-01T09:00:00,,Phase 1 | LI-1 | NEW | [TOPIC ONLY] | v2
[TK-2] The worst crypto advice I ever followed,TikTok,TikTok Script,Reach,Draft,Normal,Mythology,One-Time,2026-04-01T11:00:00,,Phase 1 | TK-2 | NEW | [TOPIC ONLY] | v2
[X-2] I built my entire system during a bear market. Now I just approve signals.,X/Twitter,Tweet,Authority,Draft,High,Polarizing Stand,One-Time,2026-04-01T12:00:00,I built my entire system during a bear market. Now I just approve signals.,Phase 1 | X-PM | A-7 | [DRAFT READY] | v2
[TK-3] What's the one thing you'd change about crypto culture?,TikTok,TikTok Script,Community,Draft,Normal,Hot Take,One-Time,2026-04-01T16:00:00,,Phase 1 | TK-3 | NEW | [TOPIC ONLY] | v2
[LI-2] From 30 hours/week researching to 3. The architecture shift.,LinkedIn,LinkedIn Post,Authority,Draft,Normal,Story,One-Time,2026-04-01T16:00:00,,Phase 1 | LI-2 | NEW | [TOPIC ONLY] | v2
[TG-2] Apr 1 - 5PM WAT,Telegram,Community Post,Authority,Draft,Normal,Enemy,One-Time,2026-04-01T16:00:00,,
[IG-2] 5 beginner trading mistakes that cost $10K+,Instagram,Carousel,Community,Draft,Normal,Callout,One-Time,2026-04-01T17:00:00,,Phase 1 | IG-2 | NEW | [TOPIC ONLY] | v2
[TK-4] 3 market signals most traders completely ignore,TikTok,TikTok Script,Authority,Draft,Normal,Mythology,One-Time,2026-04-01T19:00:00,,Phase 1 | TK-4 | NEW | [TOPIC ONLY] | v2
[TK-1] My exact system for catching trades others miss,TikTok,TikTok Script,Sales,Draft,Normal,Hot Take,One-Time,2026-04-02T06:00:00,,Phase 1 | TK-1 | NEW | [TOPIC ONLY] | v2
[IG-1] The 16 Tokens The SEC Just Cleared — updated with Q2 price action,Instagram,Carousel,Leads,Draft,High,Story,One-Time,2026-04-02T07:00:00,The 16 Tokens The SEC Just Cleared — updated with Q2 price action,Phase 1 | IG-1 | A-3 | [DRAFT READY] | v2
"[X-1] Q2 is here. Clearer regulations, stable rates, institutional staking live. The s...",X/Twitter,Tweet,Authority,Draft,High,Polarizing Stand,One-Time,2026-04-02T08:00:00,"Q2 is here. Clearer regulations, stable rates, institutional staking live. The setup is violent — in a good way.",Phase 1 | X-AM | A-11 | [DRAFT READY] | v2
[TG-1] Apr 2 - 9AM WAT,Telegram,Community Post,Leads,Draft,Normal,Enemy,One-Time,2026-04-02T08:00:00,,
[LI-1] There are 3 types of founders in Web3. Only one builds something that lasts.,LinkedIn,LinkedIn Post,Authority,Draft,Normal,Callout,One-Time,2026-04-02T09:00:00,There are 3 types of founders in Web3. Only one builds something that lasts.,Phase 1 | LI-1 | B-7 | [v1 hook] | v2
